country_name,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bosnia and Herzegovina,3907751.0,4047748.0,4115059.0,4153014.0,4179350.0,4194932.0,4198410.0,4183757.0,4142860.0,4094297.0,4058086.0,4007876.0,3943392.0,3877750.0,3811088.0,3743142.0,3674374.0,3617559.0,3571068.0,3524324.0,3480986.0,3440027.0,3400129.0,3360711.0,3318407.0
Botswana,1582169.0,1619354.0,1655699.0,1691558.0,1726985.0,1761930.0,1795130.0,1826863.0,1859085.0,1892807.0,1928704.0,1966977.0,2007320.0,2048997.0,2091664.0,2134037.0,2175425.0,2217278.0,2260376.0,2305171.0,2352416.0,2401840.0,2451409.0,2499702.0,2546402.0
Brazil,166037122.0,168546707.0,171039804.0,173486281.0,175873720.0,178211881.0,180476685.0,182629278.0,184722043.0,186797334.0,188820682.0,190779453.0,192672317.0,194517549.0,196353492.0,198185302.0,199977707.0,201721767.0,203459650.0,205188205.0,206859578.0,208504960.0,210166592.0,211782878.0,213196304.0
Brunei Darussalam,306196.0,313215.0,320152.0,327045.0,333926.0,340748.0,347463.0,354045.0,360461.0,366717.0,372808.0,378748.0,384568.0,390311.0,396053.0,401506.0,406634.0,411702.0,416656.0,421437.0,425994.0,430276.0,434274.0,438048.0,441725.0
Bulgaria,8362826.0,8312068.0,8256786.0,8210624.0,8170172.0,8009142.0,7837161.0,7775327.0,7716860.0,7658972.0,7601022.0,7545338.0,7492561.0,7444443.0,7395599.0,7348328.0,7305888.0,7265115.0,7223938.0,7177991.0,7127822.0,7075947.0,7025037.0,6975761.0,6934015.0
Burkina Faso,10621210.0,10897353.0,11201063.0,11533554.0,11882888.0,12249764.0,12632269.0,13030591.0,13445977.0,13876127.0,14316242.0,14757074.0,15197915.0,15650022.0,16116845.0,16602651.0,17113732.0,17636408.0,18169842.0,18718019.0,19275498.0,19835858.0,20392723.0,20951639.0,21522626.0
Burundi,5930507.0,5923862.0,6035340.0,6180180.0,6307659.0,6465729.0,6648938.0,6860846.0,7120496.0,7388874.0,7658190.0,7944609.0,8278109.0,8709366.0,9126605.0,9455733.0,9795479.0,10149577.0,10494913.0,10727148.0,10903327.0,11155593.0,11493472.0,11874838.0,12220227.0
Cabo Verde,421007.0,430654.0,440214.0,449627.0,458251.0,465958.0,473231.0,480089.0,486583.0,492827.0,498884.0,504733.0,510336.0,515638.0,521212.0,527521.0,533864.0,539940.0,546076.0,552166.0,558394.0,564954.0,571202.0,577030.0,582640.0
Cambodia,11182612.0,11431569.0,11669077.0,11899006.0,12118841.0,12338192.0,12561779.0,12787710.0,13016371.0,13246583.0,13477779.0,13714791.0,13943888.0,14155740.0,14363532.0,14573885.0,14786640.0,14999683.0,15210817.0,15417523.0,15624584.0,15830689.0,16025238.0,16207746.0,16396860.0
Cameroon,13575324.0,13941181.0,14314599.0,14698973.0,15091594.0,15493253.0,15914033.0,16354326.0,16809407.0,17275171.0,17751333.0,18251866.0,18777081.0,19319274.0,19878036.0,20448873.0,21032684.0,21632850.0,22299585.0,23012646.0,23711630.0,24393181.0,25076747.0,25782341.0,26491087.0
Canada,29610218.0,29905948.0,30155173.0,30401286.0,30685730.0,31020902.0,31360079.0,31644028.0,31940655.0,32243753.0,32571174.0,32889025.0,33247118.0,33628895.0,34004889.0,34339328.0,34714222.0,35082954.0,35437435.0,35702908.0,36109487.0,36545236.0,37065084.0,37601230.0,38037204.0
Central African Republic,3363570.0,3458472.0,3555064.0,3655360.0,3759170.0,3844773.0,3930648.0,4026841.0,4115138.0,4208834.0,4294352.0,4375569.0,4467233.0,4564540.0,4660067.0,4732022.0,4773306.0,4802428.0,4798734.0,4819333.0,4904177.0,4996741.0,5094780.0,5209324.0,5343020.0
Chad,7200291.0,7450874.0,7709115.0,7981889.0,8259137.0,8538804.0,8838369.0,9196366.0,9613503.0,10005012.0,10365614.0,10722731.0,11098664.0,11496128.0,11894727.0,12317730.0,12754906.0,13216766.0,13697126.0,14140274.0,14592585.0,15085884.0,15604210.0,16126866.0,16644701.0
Chile,14615483.0,14809289.0,14996742.0,15176410.0,15351799.0,15523978.0,15693790.0,15859112.0,16017966.0,16175311.0,16334575.0,16495538.0,16661462.0,16833447.0,17004162.0,17173573.0,17341771.0,17509925.0,17687108.0,17870124.0,18083879.0,18368577.0,18701450.0,19039485.0,19300315.0
China,1217550000.0,1230075000.0,1241935000.0,1252735000.0,1262645000.0,1271850000.0,1280400000.0,1288400000.0,1296075000.0,1303720000.0,1311020000.0,1317885000.0,1324655000.0,1331260000.0,1337705000.0,1345035000.0,1354190000.0,1363240000.0,1371860000.0,1379860000.0,1387790000.0,1396215000.0,1402760000.0,1407745000.0,1411100000.0
Colombia,36632573.0,37291946.0,37944414.0,38585033.0,39215135.0,39837875.0,40454050.0,41057687.0,41648268.0,42220940.0,42772910.0,43306582.0,43815313.0,44313917.0,44816108.0,45308899.0,45782417.0,46237930.0,46677947.0,47119728.0,47625955.0,48351671.0,49276961.0,50187406.0,50930662.0
Comoros,494288.0,505033.0,515959.0,526443.0,536758.0,547741.0,559047.0,570130.0,581154.0,592683.0,604658.0,616899.0,629470.0,642493.0,656024.0,670071.0,684553.0,699393.0,714612.0,730216.0,746232.0,761664.0,776313.0,790986.0,806166.0
"Congo, Dem. Rep.",44118709.0,44822198.0,45895524.0,47227238.0,48616317.0,50106657.0,51662071.0,53205639.0,54815607.0,56550247.0,58381630.0,60289422.0,62249724.0,64270232.0,66391257.0,68654269.0,70997870.0,73460021.0,76035588.0,78656904.0,81430977.0,84283273.0,87087355.0,89906890.0,92853164.0
"Congo, Rep.",2816595.0,2875037.0,2937166.0,3016659.0,3134030.0,3254101.0,3331158.0,3424653.0,3543012.0,3672839.0,3813323.0,3956329.0,4089602.0,4257230.0,4437884.0,4584216.0,4713257.0,4828066.0,4944861.0,5064386.0,5186824.0,5312340.0,5441062.0,5570733.0,5702174.0
Costa Rica,3656234.0,3739421.0,3821421.0,3901430.0,3979193.0,4053222.0,4122623.0,4188610.0,4252800.0,4315887.0,4378172.0,4440019.0,4501921.0,4563127.0,4622252.0,4679926.0,4736593.0,4791535.0,4844288.0,4895242.0,4945205.0,4993842.0,5040734.0,5084532.0,5123105.0
Cote d'Ivoire,14810946.0,15335453.0,15858990.0,16345894.0,16799670.0,17245468.0,17683897.0,18116451.0,18544903.0,18970215.0,19394057.0,19817700.0,20244449.0,20677762.0,21120042.0,21562914.0,22010712.0,22469268.0,22995555.0,23596741.0,24213622.0,24848016.0,25493988.0,26147551.0,26811790.0
Croatia,4557097.0,4534920.0,4532135.0,4512597.0,4468302.0,4299642.0,4302174.0,4303399.0,4304600.0,4310145.0,4311159.0,4310217.0,4309705.0,4305181.0,4295427.0,4280622.0,4267558.0,4255689.0,4238389.0,4203604.0,4174349.0,4124531.0,4087843.0,4065253.0,4047680.0
Cuba,10963031.0,10998129.0,11033758.0,11070094.0,11105791.0,11139127.0,11170051.0,11199217.0,11225294.0,11246114.0,11260630.0,11269887.0,11276609.0,11283185.0,11290417.0,11298710.0,11309290.0,11321579.0,11332026.0,11339894.0,11342012.0,11336405.0,11328244.0,11316697.0,11300698.0
Cyprus,880058.0,897471.0,914660.0,931600.0,948237.0,964830.0,982194.0,1000350.0,1018684.0,1037062.0,1055438.0,1073873.0,1092390.0,1110974.0,1129686.0,1145086.0,1156556.0,1166968.0,1176995.0,1187280.0,1197881.0,1208523.0,1218831.0,1228836.0,1237537.0
Czechia,10315241.0,10304131.0,10294373.0,10283860.0,10255063.0,10216605.0,10196916.0,10193998.0,10197101.0,10211216.0,10238905.0,10298828.0,10384603.0,10443936.0,10474410.0,10496088.0,10510785.0,10514272.0,10525347.0,10546059.0,10566332.0,10594438.0,10629928.0,10671870.0,10697858.0
Denmark,5263074.0,5284991.0,5304219.0,5321799.0,5339616.0,5358783.0,5375931.0,5390574.0,5404523.0,5419432.0,5437272.0,5461438.0,5493621.0,5523095.0,5547683.0,5570572.0,5591572.0,5614932.0,5643475.0,5683483.0,5728010.0,5764980.0,5793636.0,5814422.0,5831404.0
Djibouti,644649.0,667786.0,694920.0,719371.0,742033.0,765490.0,789129.0,806411.0,818373.0,830861.0,846947.0,865196.0,882886.0,901103.0,919199.0,936811.0,954297.0,971753.0,989087.0,1006259.0,1023261.0,1040233.0,1057198.0,1073994.0,1090156.0
Dominica,69166.0,69081.0,68938.0,68698.0,68346.0,68153.0,68262.0,68442.0,68574.0,68674.0,68742.0,68775.0,68782.0,68787.0,68755.0,68742.0,68888.0,68819.0,69371.0,70007.0,70075.0,70403.0,70823.0,71428.0,71995.0
Dominican Republic,8012314.0,8150076.0,8282126.0,8411374.0,8540791.0,8669040.0,8795101.0,8919852.0,9043127.0,9164768.0,9284168.0,9402206.0,9522948.0,9648061.0,9775755.0,9903737.0,10030882.0,10157051.0,10282115.0,10405832.0,10527592.0,10647244.0,10765531.0,10881882.0,10999664.0
Ecuador,11775221.0,11987838.0,12199693.0,12412046.0,12626507.0,12845521.0,13070609.0,13301184.0,13534593.0,13770012.0,14009061.0,14251835.0,14496797.0,14742766.0,14989585.0,15237728.0,15483883.0,15722989.0,15957994.0,16195902.0,16439585.0,16696944.0,17015672.0,17343740.0,17588595.0
"Egypt, Arab Rep.",65565195.0,66993728.0,68446011.0,69907887.0,71371371.0,72854261.0,74393759.0,75963322.0,77522427.0,79075310.0,80629670.0,82218755.0,83844783.0,85501064.0,87252413.0,89200054.0,91240376.0,93377890.0,95592324.0,97723799.0,99784030.0,101789386.0,103740765.0,105618671.0,107465134.0
El Salvador,5797140.0,5842638.0,5885083.0,5923852.0,5958482.0,5988095.0,6011275.0,6026849.0,6035655.0,6037817.0,6034436.0,6044131.0,6068099.0,6091188.0,6114034.0,6137349.0,6161289.0,6185642.0,6209526.0,6231066.0,6250510.0,6266654.0,6276342.0,6280217.0,6292731.0
Equatorial Guinea,582573.0,605570.0,629734.0,655029.0,684977.0,719270.0,754115.0,789681.0,826355.0,864726.0,905418.0,948814.0,994971.0,1043686.0,1094524.0,1144588.0,1193636.0,1243941.0,1295183.0,1346973.0,1398927.0,1450694.0,1502091.0,1553031.0,1596049.0
Eritrea,2264073.0,2291561.0,2322753.0,2356477.0,2392880.0,2461927.0,2547424.0,2653390.0,2763140.0,2831732.0,2880093.0,2926168.0,3005779.0,3083888.0,3147727.0,3207570.0,3252596.0,3296367.0,3323425.0,3340006.0,3365287.0,3396933.0,3445374.0,3498818.0,3555868.0
Estonia,1415594.0,1399535.0,1386156.0,1390244.0,1396985.0,1388115.0,1379350.0,1370720.0,1362550.0,1354775.0,1346810.0,1340680.0,1337090.0,1334515.0,1331475.0,1327439.0,1322696.0,1317997.0,1314545.0,1315407.0,1315790.0,1317384.0,1321977.0,1326898.0,1329522.0
Eswatini,973587.0,990734.0,1005158.0,1018370.0,1030496.0,1041396.0,1050809.0,1058797.0,1065764.0,1071886.0,1077735.0,1084008.0,1089870.0,1094886.0,1099920.0,1105371.0,1111444.0,1118319.0,1125865.0,1133936.0,1142524.0,1151390.0,1160428.0,1169613.0,1180655.0
Ethiopia,59347649.0,61233480.0,63136493.0,65077579.0,67031867.0,69018932.0,71073215.0,73168838.0,75301026.0,77469940.0,79691050.0,81996185.0,84357105.0,86755585.0,89237791.0,91817929.0,94451280.0,97084366.0,99746766.0,102471895.0,105293228.0,108197950.0,111129438.0,114120594.0,117190911.0
Fiji,796538.0,804572.0,813947.0,823422.0,832509.0,841320.0,849891.0,858306.0,866694.0,874923.0,883083.0,890648.0,896731.0,901383.0,905169.0,908355.0,911059.0,913453.0,915560.0,917200.0,918371.0,919019.0,918996.0,918465.0,920422.0
Finland,5124573.0,5139835.0,5153498.0,5165474.0,5176209.0,5188008.0,5200598.0,5213014.0,5228172.0,5246096.0,5266268.0,5288720.0,5313399.0,5338871.0,5363352.0,5388272.0,5413971.0,5438972.0,5461512.0,5479531.0,5495303.0,5508214.0,5515525.0,5521606.0,5529543.0
France,59756533.0,59969944.0,60192790.0,60504420.0,60921384.0,61367388.0,61816234.0,62256970.0,62716306.0,63188395.0,63628261.0,64021737.0,64379696.0,64710879.0,65030575.0,65345233.0,65662240.0,66002289.0,66312067.0,66548272.0,66724104.0,66918020.0,67158348.0,67388001.0,67571107.0
Gabon,1150601.0,1179806.0,1209832.0,1240764.0,1272935.0,1306590.0,1341696.0,1378398.0,1417110.0,1458353.0,1502534.0,1549774.0,1599978.0,1653542.0,1711105.0,1772500.0,1836705.0,1902226.0,1966855.0,2028517.0,2086206.0,2140215.0,2192012.0,2242785.0,2292573.0
"Gambia, The",1279070.0,1317002.0,1356189.0,1396499.0,1437539.0,1479449.0,1522223.0,1566257.0,1612225.0,1660368.0,1711294.0,1764883.0,1820542.0,1878119.0,1937275.0,1998212.0,2061014.0,2124869.0,2189019.0,2253133.0,2317206.0,2381182.0,2444916.0,2508883.0,2573995.0
